id;fileName;sousDossier;titre;dateAchat;personnage;lieu;support;etiquette;auteur;favori;art;concert;histoire;partition;corbeille;rotation;albums;filterKey;optique;poids;map
ph_mu9v0j8nxk3jsq;2019-12-23 Mame (2).jpg;2019;Albertville ARA France MameG;2019-12-23T18:11;MameG;"Albertville, ARA, France";numérique;;Philippe;false;false;false;false;false;true;0;;;samsung SM-A520F;514;"https://www.google.com/maps?q=45.673889,6.386111"
ph_mu9v0j9cnehi51;2019-11-02 Savoie (11) Sylvie Roger Marc Michele Pat.JPG;2019;GBA;2010-01-01T00:00;"Sylvie, Roro, Marc, Michoubidou, Patricia";"Mercury, La Frasse";numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  PowerShot SX20 IS;572;https://www.google.com/maps/search/?api=1&query=Mercury%2C%20La%20Frasse
ph_mu9v0j9d9tht0a;2019-11-02 Savoie (12) Sylvie Roger Marc Michele Pat.JPG;2019;GBA;2010-01-01T00:01;"Sylvie, Roro, Marc, Michoubidou, Patricia";;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  PowerShot SX20 IS;611;
ph_mu9v0j9ew3we7h;2019-08-31 Mariage 091 Cha & Karim.JPG.JPG;2019;Mar;2019-08-31T15:06;"Charlotte, Karim";;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  PowerShot SX20 IS;561;
ph_mu9v0j9e44qi1t;2019-08-31 Mariage 048 Zop Cha & Karim Cedric.JPG;2019;Mariage;2019-08-31T15:02;"Lucille, Charlotte, Karim, Cédric";;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  PowerShot SX20 IS;495;
ph_mu9v0j9e79gw7d;2019-07-22 80 ans Roger (6) Papy Thibault Claude.jpg;2019;Roro Papy Thibault Claude;2019-07-22T09:25;"Roro, Papy, Thibault, Claude";;numérique;;Philippe;false;false;false;false;false;true;0;;;HUAWEI BLN-L21;839;
ph_mu9v0j9feczlvm;2019-07-21 80 ans Roger (21).JPG;2019;Roro;2019-07-21T14:15;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;602;
ph_mu9v0j9f8jdliv;2019-07-21 80 ans Roger (7).JPG;2019;Roro;2019-07-21T11:57;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;729;
ph_mu9v0j9fd8u3nb;2019-07-21 80 ans Roger (8).JPG;2019;Roro;2019-07-21T11:57;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;686;
ph_mu9v0j9g8nxut2;2019-07-20 80 ans Roger (29).JPG;2019;Roro;2019-07-20T22:25;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;583;
ph_mu9v0j9g7l75qg;2019-07-20 80 ans Roger (22).JPG;2019;Roro;2019-07-20T20:00;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;612;
ph_mu9v0j9gl7c1wi;2019-07-20 80 ans Roger (21).JPG;2019;Roro;2019-07-20T19:50;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;972;
ph_mu9v0j9hj3gq0m;2019-07-20 80 ans Roger (14).JPG;2019;Roro;2019-07-20T19:33;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;665;
ph_mu9v0j9hjv3809;2019-07-20 80 ans Roger (15).JPG;2019;Roro;2019-07-20T19:33;Roro;;numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  DIGITAL IXUS 100 IS;625;
ph_mu9v0j9hd0yqiu;2019-08-31 Mariage 086 Cha & Karim Zop Phil.JPG;2019;Mariage;2019-08-31T15:01;"Charlotte, Karim, Lucille, Philippe";"Saint-Ouens-sur-Seine, Mairie";numérique;;Idir;true;false;false;false;false;true;0;;;;199;https://www.google.com/maps/search/?api=1&query=Saint-Ouens-sur-Seine%2C%20Mairie
ph_mu9v0j9i2wlbfc;2019-08-31 Mariage 087 Cha & Karim Zop Mohand Phil.JPG;2019;Mariage;2019-08-31T15:01;"Charlotte, Karim, Lucille, Mohand, Philippe";"Saint-Ouens-sur-Seine, Mairie";numérique;;Philippe;false;false;false;false;false;true;0;;;;184;https://www.google.com/maps/search/?api=1&query=Saint-Ouens-sur-Seine%2C%20Mairie
ph_mu9v0j9iu7mtft;2019-10-03 v Escoumins (3) Pat & Phil.JPG;2019;Gaspésie;2019-10-03T18:05;"Patricia, Philippe";"Les Escoumins, QC, Canada";numérique;;Philippe;false;false;false;false;false;true;0;;;Canon  PowerShot SX20 IS;74;https://www.google.com/maps/search/?api=1&query=Les%20Escoumins%2C%20QC%2C%20Canada
ph_mu9v0j9jt031vp;2019-10-03 Tadoussac (0) Phil.JPG;2019;Gaspésie;2019-10-03T18:05;Philippe;"Tadoussac, QC, Canada";numérique;;Philippe;true;false;false;false;false;true;0;;;Canon  PowerShot SX20 IS;246;https://www.google.com/maps/search/?api=1&query=Tadoussac%2C%20QC%2C%20Canada
ph_mu9v0jcx1b6ura;2019-12-28 (17) Léonie Hélène Pascale Didier Claude.JPG;2019;Noël;2019-12-28T12:24;"Léonie, Hélène, Pascale, Didier, Claude";Esserts-Blay;numérique;;Philippe;true;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;559;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0jh0o2ishv;2019-12-28 (14) Denise & Karim.JPG;2019;Esserts Blay Mamy Karim;2019-12-28T12:23;"Mamy, Karim";Esserts-Blay;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;520;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0jm4iyxjfy;2019-12-28 (15) Léonie Hélène.JPG;2019;Noël;2019-12-28T12:23;"Léonie, Hélène";Esserts-Blay;numérique;;Philippe;true;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;513;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0jqpite1cc;2019-12-28 (16) Papy.JPG;2019;Noël;2019-12-28T12:23;Papy;Esserts-Blay;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;522;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0jva2gmva5;2019-12-28 (10) Emilienne.JPG;2019;Noël;2019-12-28T12:22;Emilienne;Esserts-Blay;numérique;;Philippe;true;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;489;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0jz6gg2y2t;2019-12-28 (11) Didier Claude.JPG;2019;Noël;2019-12-28T12:22;"Didier, Claude";Esserts-Blay;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;533;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0k33s3h9vr;2019-12-28 (12) Louison Laurie.JPG;2019;Noël;2019-12-28T12:22;"Louison, Laurie";Esserts-Blay;numérique;;Philippe;true;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;493;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0k78oo5oxg;2019-12-28 (13) Léonie Hélène Pascale.JPG;2019;Noël;2019-12-28T12:22;"Léonie, Hélène, Pascale";Esserts-Blay;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;680;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0kb0ro5kz8;2019-12-28 (9)Pascale Didier Claude Emilienne Louison Laurie.JPG;2019;Noël;2019-12-28T12:21;"Pascale, Didier, Claude, Emilienne, Louison, Laurie";Esserts-Blay;numérique;;Philippe;true;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;546;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0ketpe15ip;2019-12-28 (7) Cha Karim.JPG;2019;Noël;2019-12-28T12:17;"Charlotte, Karim";Esserts-Blay;numérique;;Philippe;true;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;527;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0kiq8wos3h;2019-12-28 (8) Emilienne.JPG;2019;Noël;2019-12-28T12:17;Emilienne;Esserts-Blay;numérique;;Philippe;true;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;510;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0kmrt0xzfr;2019-12-28 (6) Léonie Hélène Pascale Didier.JPG;2019;Noël;2019-12-28T12:16;"Léonie, Hélène, Pascale, Didier";Esserts-Blay;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;624;https://www.google.com/maps/search/?api=1&query=Esserts-Blay
ph_mu9v0kqq8wunvh;2019-12-28 (4) Claude Emilienne.JPG;2019;Claude Emilienne;2019-12-28T12:06;"Claude, Emilienne";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;499;
ph_mu9v0kufdtinti;2019-12-28 (5) Louison Laurie.JPG;2019;Louison Laurie;2019-12-28T12:06;"Louison, Laurie";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;473;
ph_mu9v0ky40nv1el;2019-12-28 (2) Didier.JPG;2019;Didier;2019-12-28T12:05;Didier;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;523;
ph_mu9v0l1ys6gk8s;2019-12-28 (3) Hélène Didier Claude.JPG;2019;Hélène Didier Claude;2019-12-28T12:05;"Hélène, Didier, Claude";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;533;
ph_mu9v0l5i522lmu;2019-12-28 (1) Louison Laurie.JPG;2019;Louison Laurie;2019-12-28T12:01;"Louison, Laurie";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;362;
ph_mu9v0lag7nf2xd;2019-12-27 Pat aux relais.jpg;2019;Patricia;2019-12-27T16:05;Patricia;;numérique;;Philippe;false;false;false;false;false;false;0;;;samsung SM-A520F;928;"https://www.google.com/maps?q=45.665278,6.335000"
ph_mu9v0lghm1aakm;2019-12-27 Kiwi (2).jpg;2019;;2019-12-27T15:33;;;numérique;;Philippe;false;false;false;false;false;false;0;;;samsung SM-A520F;1655;"https://www.google.com/maps?q=45.694444,6.363889"
ph_mu9v0lluln3j3f;2019-12-27 Kiwi (1).jpg;2019;;2019-12-27T15:32;;;numérique;;Philippe;false;false;false;false;false;false;0;;;samsung SM-A520F;1200;"https://www.google.com/maps?q=45.694722,6.364167"
ph_mu9v0lmz0k6poh;"2019-12-27 Wolfgang, Anna et enfants.jpg";2019;Wolfgang;2019-12-27T09:01;Wolfgang;;numérique;;Philippe;false;false;false;false;false;false;0;;;;159;
ph_mu9v0lqk4898r7;2019-12-27 vieille maison illuminée (2).JPG;2019;;2019-12-27T00:01;;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;315;
ph_mu9v0lv1ywp3y9;2019-12-27 Pat au masque.JPG;2019;Patricia;2019-12-27T00:00;Patricia;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;450;
ph_mu9v0lypv3ifag;2019-12-27 vieille maison illuminée (1).JPG;2019;;2019-12-27T00:00;;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;328;
ph_mu9v0m2ax4r0gf;2019-12-26 1- Cha.JPG;2019;Charlotte;2019-12-26T00:01;Charlotte;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;349;
ph_mu9v0m5wecxv31;2019-12-26 2 - Karim.JPG;2019;Karim;2019-12-26T00:01;Karim;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;400;
ph_mu9v0m9jbaod70;2019-12-26 3 - Pat.JPG;2019;Patricia;2019-12-26T00:01;Patricia;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;417;
ph_mu9v0mda9iq5hb;2019-12-26 Cha & Karim.JPG;2019;Charlotte Karim;2019-12-26T00:00;"Charlotte, Karim";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;496;
ph_mu9v0mego6qvw4;2019-12-25 02 Pat & Phil découpe dinde.jpg;2019;Patricia Philippe;2019-12-25T09:37;"Patricia, Philippe";;numérique;;Philippe;false;false;false;false;false;false;0;;;;135;
ph_mu9v0mi4ympbrh;2019-12-25  Cha & Karim 2.JPG;2019;Charlotte Karim;2019-12-25T00:00;"Charlotte, Karim";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;449;
ph_mu9v0mmasebdvs;2019-12-25 0+ Mame.JPG;2019;MameG;2019-12-25T00:00;MameG;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;697;
ph_mu9v0mq0wgdv7c;2019-12-25 01 Phil.JPG;2019;Philippe;2019-12-25T00:00;Philippe;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;467;
ph_mu9v0mto9d160z;2019-12-25 03 Phil.JPG;2019;Philippe;2019-12-25T00:00;Philippe;;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;452;
ph_mu9v0myckikwcp;2019-12-25 05 Cedric Karim Cha Estelle Yves Phil.JPG;2019;Cédric Karim Charlotte Estelle Yves Philippe;2019-12-25T00:00;"Cédric, Karim, Charlotte, Estelle, Yves, Philippe";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;1117;
ph_mu9v0n2t2qea9f;2019-12-25 06 Cedric Karim Cha Estelle Yves Phil.JPG;2019;Cédric Karim Charlotte Estelle Yves Philippe;2019-12-25T00:00;"Cédric, Karim, Charlotte, Estelle, Yves, Philippe";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;1020;
ph_mu9v0n7i9cx93v;2019-12-25 06 Karim Cha Estelle.JPG;2019;Karim Charlotte Estelle;2019-12-25T00:00;"Karim, Charlotte, Estelle";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;1044;
ph_mu9v0nc102z3u7;2019-12-25 08 Cedric Karim Cha Estelle Yves Phil.JPG;2019;Cédric Karim Charlotte Estelle Yves Philippe;2019-12-25T00:00;"Cédric, Karim, Charlotte, Estelle, Yves, Philippe";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;1040;
ph_mu9v0nfpo1r93b;2019-12-25 09 Cedric Karim Cha Estelle Yves.JPG;2019;Cédric Karim Charlotte Estelle Yves;2019-12-25T00:00;"Cédric, Karim, Charlotte, Estelle, Yves";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;460;
ph_mu9v0nk0d2hno6;2019-12-25 10 Cha Lucille Cedric Karim Estelle Yves.JPG;2019;Charlotte Lucille Cédric Karim Estelle Yves;2019-12-25T00:00;"Charlotte, Lucille, Cédric, Karim, Estelle, Yves";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;834;
ph_mu9v0noqi2m87z;2019-12-25 11 Cha Lucille Cedric Karim Estelle Yves.JPG;2019;Charlotte Lucille Cédric Karim Estelle Yves;2019-12-25T00:00;"Charlotte, Lucille, Cédric, Karim, Estelle, Yves";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;873;
ph_mu9v0ntgfd1ei7;2019-12-25 12 Cha Lucille Cedric Karim Estelle Yves.JPG;2019;Charlotte Lucille Cédric Karim Estelle Yves;2019-12-25T00:00;"Charlotte, Lucille, Cédric, Karim, Estelle, Yves";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;1073;
ph_mu9v0nxw2f5zpl;2019-12-25 13 Cha Lucille Cedric Karim Estelle Yves.JPG;2019;Charlotte Lucille Cédric Karim Estelle Yves;2019-12-25T00:00;"Charlotte, Lucille, Cédric, Karim, Estelle, Yves";;numérique;;Philippe;false;false;false;false;false;false;0;;;Canon  PowerShot SX20 IS;964;
